56879    5   21    1    1   18    7    6   51    7   11   21    9    8    4   46   35   10   40    2   10   11    5   27    3    7    0   15    1   13    2   16   74   36    2    7    0    4   11   47   22    2   32   56   18   25    0   12   15    7   15
56878    2   20    3    3   20    6    9   45   11    8   19    6   12    3   52   43    5   40    2    9   10    1   27    4    4    0   15    2   13    0   21   60   28    1    8    0    4   11   67   21    1   21   60   15   23    0   10   16    8   13
56898    8   20    2    0   20    2    8   62   10   18   18   13    7    2   57   41    7   35    6   14   15    2   25    3    2    0   20    0    8    1   22   55   14    2   10    0    9    5   76   50    0   27   63   32   28    0   11   18   12    5
56869    9   20    1    0   26    1   13   55    8    7   11   11    6    1   52   51    3   34    1    4   12    3   32    2    0    0   20    0   11    0   20   47   20    0    6    0    6    7   71   54    0   22   61   23   21    0    9   14   16    7
56966    3   14    0    9   18    7    8   55    3    5    1    2    3    1   34   33    9   62    5    1   23    5   17    1    0    0   18   10    5    0   12   60   11    0    7    0    2    3   34   38    0   27   68   19   23    0    8   17    2   18
56651    0    4    0    1    0    0    2    1    2    1    0    1    4    1    5    0    2    2    1    0    6    0    3    3    0    0    4    0    0    0    7    5    6    1    0    1    1    9    0    8    4   12   25    5    2    0   11   17    0    0
56567    1    5    1    1    7    0    1    3    2    1    3    0    4    1    4    1    3    1   10    0   11    0   12    1    1    0    7    0    0    0    4    6    7    2    0    0    0    5    1   33    4    2    9    8    4    0    3   15    1    0
56652    0    9    3    0    2    0    1    6    9    3    1    0    4    0    7    1    6    1    4    0    8    0   13    1    1    0    6    0    2    1   18    3    9    0    2    0    2    8    3   12    0   30    9   10    3    0    4   28    0    0
56664    0   11    7    0   13    0    1    2    2    0    0    0    0    0    8    0    0    2    0    0    4    0   20    0    0    0    3    0    0    0    9   17    3    0    0    0    4    6    5   23    0   15    4    0    4    0   15    7    9    0
56444    8    8    3    4    2   20    7   22   19    6    4   10   10    6    7    1   16    5    5   14   21    0    8    4    3    1    5   11    4   16    7    9   29    8    6    3    2   12    9   20    2   10    6   13    7    0    1   17    2    0
56543    1    3    0    1    0    0    1   11   20    6    2    3    9    9    5    2    2    5    6    0   14    0   10   14    1    2    2    2    1    2   11    2   44   30    4    4    3   16    2   27    7    7   18   20   14    0    3   45    3    1
56548   25   15    0   22    0    7   14   31   46   31   24   10   41   21    2    1   27    5   12    9   44    0   33   65    9   12   11    4    1   29   29   14   69   46   22   12    2   50    1   51   36   46   52   48   39    0    1  126    0    0
56533   24   48   14   83    9   28   29   71  165   59   61   43   77   73   22   13   63   64   62   51  126    3   96   70   39   20   11   29   23   50   42   41  272   90   77   44   19   94   39  124   44  127   53  105   91    2   22  241   42    1
56641   52   33    1   92    3    6   51   62  100   54   63   28   90   27    6    4   93   18   44   44   94    0  100   60   28   31   24   23    2   71   60   51  164   71   45   43    9  125    4   91   56  134   69  145   61    1   11  193   15    0
